asset_id,asset_type,age_days,days_since_last_pm,cumulative_downtime_hours,historical_work_order_count,vibration_rms,operating_temperature_c,power_consumption_kwh,ambient_humidity,thermal_vibration_index,pm_overdue_ratio,downtime_intensity,failed_within_30_days
AST-IT -406,IT Server,454,225,0.0,0,4.94,73.5,25.7,68.0,2.424,2.5,0.0,1
AST-HVA-209,HVAC,2296,40,39.9,13,2.18,61.0,23.0,46.9,0.887,0.444,0.521,0
AST-IT -315,IT Server,1434,53,45.3,6,1.77,51.4,13.4,41.3,0.605,0.589,0.948,0
AST-WAT-370,Water Pump,2100,126,8.6,13,3.72,73.7,29.1,58.6,1.83,1.4,0.123,1
AST-WAT-152,Water Pump,408,163,0.0,0,5.35,76.7,36.4,63.9,2.739,1.811,0.0,0
AST-MED-145,Medical,44,86,2.1,1,0.63,45.3,6.5,40.2,0.191,0.956,1.432,0
AST-ELE-368,Elevator,691,190,19.3,4,4.17,74.3,40.4,49.6,2.067,2.111,0.838,0
AST-ELE-537,Elevator,2327,3,2.2,16,2.94,48.7,22.3,58.9,0.953,0.033,0.028,0
AST-ELE-252,Elevator,2264,10,199.7,8,2.98,69.2,21.2,56.6,1.373,0.111,2.646,0
AST-IT -665,IT Server,636,111,3.5,4,2.08,60.2,14.5,56.1,0.834,1.233,0.165,0
AST-MED-473,Medical,193,231,8.8,2,5.37,68.0,18.0,57.0,2.437,2.567,1.368,1
AST-ELE-355,Elevator,451,91,15.2,2,2.72,45.8,36.8,46.3,0.831,1.011,1.011,0
AST-WAT-516,Water Pump,663,237,5.5,3,6.55,90.1,56.5,48.8,3.93,2.633,0.249,1
AST-WAT-266,Water Pump,755,226,23.4,3,8.72,88.1,35.9,45.2,5.121,2.511,0.93,1
AST-GEN-854,Generator,1390,201,144.0,8,6.09,100.1,61.4,51.4,4.063,2.233,3.108,1
AST-WAT-785,Water Pump,1046,69,73.4,10,4.18,66.6,34.1,47.4,1.858,0.767,2.105,1
AST-ELE-210,Elevator,1596,224,4.8,10,5.82,93.7,38.1,51.6,3.632,2.489,0.09,1
AST-LAB-327,Lab Equipment,847,210,1.0,7,5.2,73.1,21.1,66.9,2.533,2.333,0.035,0
AST-MED-412,Medical,962,58,23.6,9,1.32,37.5,5.7,35.5,0.331,0.644,0.736,0
AST-GEN-508,Generator,1374,72,283.8,10,4.75,93.5,34.4,50.9,2.959,0.8,6.197,1
AST-WAT-385,Water Pump,1468,165,104.3,5,7.41,79.5,34.3,55.7,3.927,1.833,2.131,1
AST-ELE-963,Elevator,2226,85,24.3,16,4.56,67.4,24.5,52.0,2.048,0.944,0.327,0
AST-HVA-998,HVAC,1099,46,28.4,9,1.59,51.2,21.9,71.5,0.542,0.511,0.775,0
AST-MED-139,Medical,474,153,6.9,1,2.5,48.6,14.7,54.1,0.81,1.7,0.437,0
AST-ELE-905,Elevator,1314,112,191.5,15,4.14,72.0,34.9,40.2,1.985,1.244,4.372,1
AST-IT -218,IT Server,1607,231,28.8,5,5.91,79.1,28.4,33.8,3.114,2.567,0.538,1
AST-MED-145,Medical,1816,1,25.8,12,1.79,44.3,5.8,61.6,0.529,0.011,0.426,0
AST-WAT-651,Water Pump,837,94,51.1,6,3.16,49.0,35.8,63.0,1.035,1.044,1.832,0
AST-ELE-438,Elevator,1315,170,4.1,8,5.62,82.5,33.7,36.2,3.09,1.889,0.094,0
AST-ELE-407,Elevator,2107,80,109.9,18,2.66,63.0,27.8,52.9,1.118,0.889,1.565,0
AST-MED-512,Medical,1241,142,11.0,4,3.12,56.2,12.7,55.5,1.168,1.578,0.266,0
AST-LAB-780,Lab Equipment,1582,174,8.0,10,4.1,71.6,18.9,32.8,1.958,1.933,0.152,0
AST-GEN-730,Generator,2361,78,11.3,6,2.51,82.0,43.1,49.7,1.375,0.867,0.144,0
AST-WAT-100,Water Pump,1274,74,31.4,8,2.86,59.9,43.5,49.7,1.141,0.822,0.739,0
AST-WAT-693,Water Pump,1349,120,13.0,5,2.93,65.6,43.1,57.7,1.282,1.333,0.289,0
AST-ELE-318,Elevator,2123,122,16.5,15,3.95,61.7,38.3,54.3,1.627,1.356,0.233,0
AST-WAT-853,Water Pump,725,169,67.6,5,6.85,81.8,48.5,41.7,3.735,1.878,2.797,1
AST-IT -779,IT Server,1402,24,61.6,5,1.73,49.2,16.4,63.6,0.568,0.267,1.318,0
AST-WAT-340,Water Pump,1301,58,1.7,9,2.58,48.2,33.9,57.8,0.828,0.644,0.039,0
AST-GEN-125,Generator,219,63,5.6,2,2.5,77.8,56.4,44.5,1.297,0.7,0.767,0
AST-IT -970,IT Server,328,117,5.8,3,2.03,52.6,18.4,35.0,0.71,1.3,0.53,0
AST-ELE-689,Elevator,826,184,8.1,5,5.13,83.7,38.1,45.6,2.862,2.044,0.294,0
AST-LAB-509,Lab Equipment,1029,38,104.6,5,2.98,45.7,14.0,41.5,0.907,0.422,3.05,0
AST-HVA-868,HVAC,466,200,3.2,2,4.01,77.0,30.3,64.8,2.06,2.222,0.206,0
AST-GEN-923,Generator,2151,119,66.2,9,4.1,80.1,45.2,74.9,2.188,1.322,0.923,1
AST-GEN-968,Generator,527,117,9.4,5,3.3,69.3,46.4,37.6,1.525,1.3,0.535,0
AST-LAB-783,Lab Equipment,2205,144,80.7,19,4.76,65.0,18.3,20.0,2.06,1.6,1.098,1
AST-WAT-553,Water Pump,2097,110,9.9,11,2.88,71.8,35.0,42.2,1.38,1.222,0.142,0
AST-IT -556,IT Server,681,191,40.4,7,4.58,75.9,25.9,64.2,2.317,2.122,1.78,0
AST-LAB-365,Lab Equipment,1042,216,223.3,5,6.99,77.0,23.1,67.2,3.592,2.4,6.429,1
AST-WAT-896,Water Pump,2165,125,72.7,11,5.36,80.0,33.5,66.5,2.862,1.389,1.007,1
AST-MED-550,Medical,347,183,4.7,1,3.66,51.1,14.7,68.6,1.245,2.033,0.406,0
AST-MED-443,Medical,1339,229,33.1,5,5.8,80.0,20.8,46.1,3.09,2.544,0.742,1
AST-GEN-254,Generator,977,99,8.6,3,4.01,56.9,61.5,58.7,1.519,1.1,0.264,0
AST-ELE-319,Elevator,293,107,5.2,4,2.47,61.9,28.6,56.6,1.021,1.189,0.532,0
AST-IT -577,IT Server,1733,16,17.2,9,1.4,48.4,16.2,38.4,0.45,0.178,0.298,0
AST-LAB-498,Lab Equipment,2422,179,66.7,9,5.43,65.0,21.9,49.1,2.351,1.989,0.826,1
AST-WAT-689,Water Pump,1588,123,109.9,10,4.72,81.7,38.3,41.6,2.568,1.367,2.076,1
AST-MED-405,Medical,1627,219,107.3,9,6.48,74.6,18.8,48.2,3.22,2.433,1.978,1
AST-WAT-529,Water Pump,2234,192,20.6,13,7.65,71.8,42.0,50.0,3.66,2.133,0.277,1
AST-WAT-717,Water Pump,933,125,4.6,7,4.29,79.4,33.1,47.6,2.27,1.389,0.148,1
AST-LAB-597,Lab Equipment,148,100,0.0,0,1.41,39.2,11.7,35.3,0.369,1.111,0.0,0
AST-ELE-917,Elevator,1686,186,18.8,8,6.43,71.1,43.0,55.0,3.05,2.067,0.335,1
AST-LAB-230,Lab Equipment,2217,7,59.5,12,2.16,54.0,10.4,51.0,0.78,0.078,0.805,0
AST-IT -677,IT Server,141,22,0.0,0,1.21,38.0,13.8,33.1,0.305,0.244,0.0,0
AST-GEN-987,Generator,1921,47,177.2,16,5.83,84.2,46.3,46.3,3.273,0.522,2.767,1
AST-LAB-435,Lab Equipment,896,117,8.7,4,2.15,43.2,10.9,56.1,0.619,1.3,0.291,0
AST-WAT-488,Water Pump,1169,193,102.0,10,7.69,86.4,41.9,53.9,4.429,2.144,2.618,1
AST-LAB-358,Lab Equipment,365,121,6.2,2,2.62,44.9,14.6,49.9,0.783,1.344,0.51,0
AST-IT -153,IT Server,1463,58,30.2,11,1.74,50.5,10.9,42.2,0.587,0.644,0.619,0
AST-WAT-767,Water Pump,194,194,0.7,1,4.5,83.7,48.0,64.6,2.51,2.156,0.108,1
AST-GEN-304,Generator,113,160,0.0,0,4.16,94.9,51.8,46.0,2.634,1.778,0.0,1
AST-GEN-584,Generator,498,145,1.6,2,3.52,77.5,47.0,52.0,1.822,1.611,0.096,0
AST-LAB-816,Lab Equipment,1079,197,104.5,8,5.33,72.3,18.8,28.4,2.569,2.189,2.905,1
AST-IT -721,IT Server,499,200,9.7,3,4.37,68.6,26.1,40.4,1.999,2.222,0.583,0
AST-MED-210,Medical,2400,7,11.6,8,1.93,46.0,8.1,38.3,0.592,0.078,0.145,0
AST-IT -793,IT Server,1567,102,24.1,8,2.27,51.1,14.5,62.5,0.772,1.133,0.461,0
AST-GEN-177,Generator,2455,177,28.2,16,5.76,100.3,61.8,64.6,3.848,1.967,0.345,1
AST-GEN-204,Generator,1265,218,47.9,7,6.61,101.3,46.6,38.3,4.461,2.422,1.136,1
AST-WAT-223,Water Pump,2348,201,71.5,11,6.74,87.0,42.6,41.5,3.91,2.233,0.914,1
AST-IT -538,IT Server,1547,18,44.0,5,1.52,60.4,14.3,47.0,0.612,0.2,0.853,0
AST-MED-112,Medical,1750,211,34.7,14,5.29,60.4,20.6,36.8,2.131,2.344,0.595,1
AST-LAB-470,Lab Equipment,1913,182,13.2,17,4.85,64.4,17.3,61.0,2.082,2.022,0.207,1
AST-GEN-851,Generator,2167,167,33.3,9,5.89,96.5,55.9,64.1,3.786,1.856,0.461,1
AST-WAT-651,Water Pump,2010,120,175.5,7,5.02,76.4,38.4,56.9,2.555,1.333,2.619,1
AST-ELE-706,Elevator,1129,83,56.0,8,3.13,67.3,25.4,55.7,1.404,0.922,1.488,0
AST-WAT-188,Water Pump,1172,226,15.6,2,8.15,85.5,44.6,33.2,4.646,2.511,0.399,1
AST-WAT-575,Water Pump,2364,157,20.0,16,6.4,73.1,36.9,50.2,3.115,1.744,0.254,1
AST-MED-129,Medical,2054,218,115.0,14,6.27,71.9,18.1,40.2,3.006,2.422,1.68,1
AST-LAB-317,Lab Equipment,1483,205,58.0,10,6.24,69.5,21.9,40.0,2.89,2.278,1.173,1
AST-MED-710,Medical,1161,143,68.7,7,3.96,53.9,11.4,50.0,1.422,1.589,1.775,1
AST-GEN-187,Generator,1018,185,5.7,6,4.84,73.6,52.4,48.5,2.374,2.056,0.168,1
AST-IT -876,IT Server,1014,177,98.9,9,5.04,60.2,19.4,54.2,2.025,1.967,2.926,1
AST-ELE-602,Elevator,1865,203,1.4,9,6.06,69.9,38.8,48.2,2.827,2.256,0.023,1
AST-MED-326,Medical,1686,178,70.3,9,4.25,63.6,16.4,59.3,1.802,1.978,1.251,1
AST-ELE-695,Elevator,1541,122,13.9,7,2.95,60.1,29.7,54.4,1.182,1.356,0.271,0
AST-MED-535,Medical,2284,85,35.8,10,1.99,45.2,8.1,36.4,0.598,0.944,0.47,0
AST-LAB-377,Lab Equipment,1285,65,26.0,8,2.3,41.9,10.0,56.8,0.643,0.722,0.607,0
AST-ELE-297,Elevator,1322,31,12.1,7,2.66,66.0,23.7,50.7,1.17,0.344,0.275,0
AST-WAT-806,Water Pump,788,50,18.4,5,1.68,60.5,29.8,74.1,0.678,0.556,0.701,0
AST-LAB-383,Lab Equipment,2444,195,56.8,12,5.76,68.5,20.4,66.5,2.63,2.167,0.697,1
AST-MED-202,Medical,825,76,3.6,2,1.24,36.1,8.1,69.5,0.298,0.844,0.131,0
AST-GEN-409,Generator,87,182,0.0,0,4.75,73.3,58.6,49.1,2.322,2.022,0.0,0
AST-MED-146,Medical,253,142,12.8,2,2.74,54.5,12.5,32.7,0.993,1.578,1.518,0
AST-GEN-753,Generator,2040,27,46.5,9,4.23,80.1,50.2,47.7,2.258,0.3,0.684,0
AST-IT -391,IT Server,1952,123,78.6,11,3.13,67.6,17.0,45.2,1.411,1.367,1.208,1
AST-GEN-152,Generator,1064,221,77.1,6,7.24,114.1,55.4,55.4,5.508,2.456,2.174,1
AST-WAT-166,Water Pump,1671,126,34.5,7,5.94,72.8,31.1,57.2,2.883,1.4,0.619,1
AST-ELE-802,Elevator,249,39,15.3,4,2.11,65.1,27.6,23.1,0.917,0.433,1.843,0
AST-IT -411,IT Server,378,64,14.9,2,1.05,44.4,13.5,25.6,0.311,0.711,1.183,0
AST-WAT-526,Water Pump,2471,203,93.1,16,8.36,89.3,43.4,49.7,4.977,2.256,1.13,1
AST-WAT-635,Water Pump,1588,116,69.7,6,4.88,68.0,38.3,33.8,2.214,1.289,1.317,0
AST-MED-980,Medical,2440,110,35.0,16,3.09,44.2,10.5,58.0,0.911,1.222,0.43,0
AST-IT -161,IT Server,436,196,2.8,4,3.9,53.6,24.2,63.2,1.393,2.178,0.193,0
AST-GEN-370,Generator,362,41,6.6,2,2.2,72.8,42.1,59.0,1.066,0.456,0.547,0
AST-IT -176,IT Server,671,1,59.3,3,1.51,57.3,13.8,59.7,0.576,0.011,2.651,0
AST-ELE-708,Elevator,1954,75,109.5,15,3.04,67.7,20.1,46.4,1.374,0.833,1.681,1
AST-MED-823,Medical,1188,180,39.7,6,4.82,62.2,16.4,42.2,2.001,2.0,1.003,0
AST-HVA-803,HVAC,986,237,53.4,5,6.48,89.0,37.5,56.0,3.849,2.633,1.625,1
AST-WAT-740,Water Pump,2445,170,78.7,18,4.69,79.6,45.7,45.8,2.491,1.889,0.966,1
AST-GEN-535,Generator,500,140,36.4,5,4.27,68.1,47.5,39.9,1.941,1.556,2.184,0
AST-GEN-372,Generator,612,19,12.3,7,2.15,51.4,43.5,25.2,0.738,0.211,0.603,0
AST-WAT-414,Water Pump,2467,192,19.8,10,6.47,73.9,39.0,41.0,3.188,2.133,0.241,1
AST-MED-549,Medical,539,120,2.7,5,1.92,46.4,10.6,24.1,0.594,1.333,0.15,0
AST-ELE-512,Elevator,1145,129,22.2,7,3.92,70.1,24.6,60.7,1.832,1.433,0.582,0
AST-LAB-182,Lab Equipment,2479,11,109.3,18,3.19,52.1,10.7,54.1,1.109,0.122,1.323,0
AST-ELE-430,Elevator,1055,7,2.2,5,2.18,53.0,28.7,55.3,0.771,0.078,0.063,0
AST-ELE-956,Elevator,2386,151,81.1,15,5.5,83.0,34.7,57.6,3.044,1.678,1.02,1
AST-WAT-788,Water Pump,1133,148,0.3,4,2.96,67.0,49.7,44.2,1.321,1.644,0.008,1
AST-WAT-279,Water Pump,1957,133,14.7,3,5.56,65.1,40.2,55.1,2.415,1.478,0.225,0
AST-MED-285,Medical,2427,112,100.6,15,3.21,50.4,9.5,67.2,1.079,1.244,1.244,0
AST-LAB-193,Lab Equipment,1955,90,52.4,10,2.93,41.5,13.9,63.5,0.812,1.0,0.804,0
AST-MED-786,Medical,458,220,3.4,1,4.88,63.5,18.9,48.1,2.065,2.444,0.223,1
AST-LAB-810,Lab Equipment,2059,74,5.8,13,1.3,42.5,13.7,69.4,0.369,0.822,0.085,0
AST-LAB-933,Lab Equipment,2283,10,292.1,11,3.94,53.3,11.9,36.2,1.399,0.111,3.838,1
AST-MED-358,Medical,1354,30,0.8,4,1.18,39.3,5.8,45.7,0.311,0.333,0.018,0
AST-LAB-985,Lab Equipment,2137,212,318.4,17,7.08,78.0,24.3,54.4,3.682,2.356,4.47,1
AST-ELE-990,Elevator,2252,119,61.4,21,4.53,56.7,31.2,35.8,1.711,1.322,0.818,1
AST-GEN-630,Generator,1511,160,17.6,7,3.35,92.7,43.6,52.9,2.068,1.778,0.349,0
AST-ELE-552,Elevator,241,53,6.2,2,2.9,68.7,22.8,56.0,1.33,0.589,0.772,0
AST-GEN-394,Generator,1824,226,93.8,10,7.98,103.0,60.5,45.6,5.478,2.511,1.543,1
AST-HVA-129,HVAC,1010,182,10.9,8,4.61,82.9,22.6,85.0,2.549,2.022,0.324,1
AST-IT -114,IT Server,2292,105,308.1,13,3.48,59.6,17.2,67.9,1.38,1.167,4.033,1
AST-WAT-216,Water Pump,1920,31,12.5,18,2.93,71.3,34.8,20.0,1.39,0.344,0.195,0
AST-GEN-610,Generator,1225,131,14.9,7,4.86,75.2,42.4,41.8,2.439,1.456,0.365,0
AST-LAB-954,Lab Equipment,2006,121,698.7,19,4.41,63.8,15.9,56.2,1.876,1.344,10.449,1
AST-IT -248,IT Server,1601,49,31.4,10,1.56,49.7,13.2,46.3,0.517,0.544,0.588,0
AST-IT -864,IT Server,589,222,8.5,4,5.12,68.3,27.5,61.3,2.333,2.467,0.433,1
AST-WAT-908,Water Pump,1729,88,48.8,5,3.27,70.4,30.7,57.6,1.533,0.978,0.847,0
AST-IT -373,IT Server,40,73,0.0,0,0.93,45.2,11.3,64.4,0.28,0.811,0.0,0
AST-WAT-701,Water Pump,2405,169,197.6,15,4.69,89.0,47.2,64.9,2.783,1.878,2.465,1
AST-GEN-557,Generator,2236,124,10.0,6,4.67,84.8,49.4,66.4,2.637,1.378,0.134,1
AST-IT -881,IT Server,2255,97,107.5,12,2.86,48.4,14.0,45.1,0.921,1.078,1.43,0
AST-MED-990,Medical,802,179,0.0,3,3.82,57.5,16.6,37.6,1.465,1.989,0.0,0
AST-LAB-339,Lab Equipment,1712,12,24.3,3,1.79,45.7,9.6,40.2,0.547,0.133,0.426,0
AST-LAB-822,Lab Equipment,1591,99,0.3,13,2.26,42.9,13.1,50.8,0.646,1.1,0.006,0
AST-WAT-940,Water Pump,653,127,36.5,4,3.68,70.5,37.0,48.5,1.728,1.411,1.677,0
AST-GEN-614,Generator,2447,85,47.7,13,2.97,66.1,41.6,48.2,1.309,0.944,0.585,0
AST-WAT-965,Water Pump,1833,26,134.7,13,3.79,74.3,30.2,75.2,1.878,0.289,2.205,1
AST-LAB-115,Lab Equipment,620,105,3.5,4,2.48,50.6,15.2,33.6,0.836,1.167,0.169,0
AST-GEN-176,Generator,1953,201,13.3,10,5.99,100.2,50.6,48.0,4.0,2.233,0.204,1
AST-MED-738,Medical,1658,167,12.3,5,3.96,47.1,15.4,21.1,1.245,1.856,0.223,1
AST-MED-972,Medical,2215,98,48.7,13,2.5,49.9,7.2,63.4,0.831,1.089,0.66,0
AST-ELE-835,Elevator,2028,224,61.8,7,7.08,91.7,43.3,41.1,4.33,2.489,0.914,1
AST-IT -170,IT Server,991,162,6.4,3,3.45,62.2,21.4,52.9,1.432,1.8,0.194,0
AST-MED-332,Medical,400,112,1.2,3,1.67,40.1,11.8,48.7,0.446,1.244,0.09,0
AST-WAT-748,Water Pump,441,114,19.0,1,3.46,66.8,28.0,42.6,1.542,1.267,1.293,0
AST-MED-129,Medical,218,84,0.0,0,1.55,40.7,6.7,53.0,0.42,0.933,0.0,0
AST-MED-467,Medical,1565,111,10.5,11,1.98,45.5,9.8,57.0,0.6,1.233,0.201,0
AST-IT -521,IT Server,2348,175,68.3,10,4.8,69.7,21.7,66.5,2.229,1.944,0.873,1
AST-GEN-279,Generator,353,157,2.2,2,3.2,80.0,47.7,57.1,1.706,1.744,0.187,0
AST-IT -799,IT Server,1016,128,58.4,10,3.01,59.1,16.7,55.9,1.188,1.422,1.724,0
