asset_tag,category_code,department,building,prior_failures_count,prior_work_orders_count,avg_repair_hours_so_far,life_used_percentage,failure_probability,risk_level,predicted_failure_30d
AST-IT-PC-00195,IT-PC,Unknown,Administration Building,3,9,6.31,137.33333333333334,0.3136,High Risk,1
AST-IT-PC-00100,IT-PC,Artificial Intelligence Department,AI and Data Science Building,1,6,8.97,111.5,0.3109,High Risk,1
AST-IT-PC-00051,IT-PC,Electrical Engineering Department,Engineering Building,3,9,6.63,69.16666666666667,0.309,High Risk,1
AST-IT-PC-00245,IT-PC,Electrical Engineering Department,Engineering Building,3,9,7.58,98.5,0.3007,Moderate Risk,0
AST-IT-PC-00219,IT-PC,Unknown,Administration Building,1,7,3.32,109.0,0.2957,Moderate Risk,0
AST-IT-PC-00169,IT-PC,Electrical Engineering Department,Engineering Building,1,7,7.66,81.66666666666667,0.2906,Moderate Risk,0
AST-IT-PC-00340,IT-PC,Unknown,Administration Building,1,7,6.48,112.83333333333334,0.2852,Moderate Risk,0
AST-IT-PC-00098,IT-PC,Computer Science Department,Engineering Building,2,7,12.09,100.33333333333334,0.2801,Moderate Risk,0
AST-IT-MONITOR-00271,IT-MONITOR,Electrical Engineering Department,Engineering Building,1,4,10.11,107.36111111111111,0.2764,Moderate Risk,0
AST-IT-PC-00363,IT-PC,Electrical Engineering Department,Engineering Building,0,6,1.86,83.66666666666667,0.276,Moderate Risk,0
AST-IT-PRINTER-00379,IT-PRINTER,Data Science Department,AI and Data Science Building,2,11,7.3,72.33333333333333,0.2744,Moderate Risk,0
AST-IT-MONITOR-00224,IT-MONITOR,Computer Science Department,Engineering Building,2,5,14.2,50.69444444444444,0.2724,Moderate Risk,0
AST-IT-PC-00389,IT-PC,Data Science Department,AI and Data Science Building,3,9,7.9,84.50000000000001,0.2708,Moderate Risk,0
AST-IT-LAPTOP-00251,IT-LAPTOP,Electrical Engineering Department,Engineering Building,3,9,7.77,130.0,0.2703,Moderate Risk,0
AST-IT-LAPTOP-00298,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,3,9,8.43,152.5,0.2689,Moderate Risk,0
AST-IT-PRINTER-00355,IT-PRINTER,Unknown,Administration Building,6,15,9.4,135.16666666666666,0.2665,Moderate Risk,0
AST-IT-LAPTOP-00227,IT-LAPTOP,Data Science Department,AI and Data Science Building,1,7,5.6,107.08333333333331,0.2523,Moderate Risk,0
AST-IT-SWITCH-00188,IT-SWITCH,Unknown,Administration Building,0,3,2.66,95.59523809523807,0.2517,Moderate Risk,0
AST-IT-PC-00048,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,8,4.28,122.5,0.2415,Moderate Risk,0
AST-IT-PRINTER-00259,IT-PRINTER,Unknown,Administration Building,2,11,7.38,126.66666666666666,0.2378,Moderate Risk,0
AST-IT-PC-00388,IT-PC,Computer Science Department,Engineering Building,1,7,5.4,51.0,0.2358,Moderate Risk,0
AST-FAC-UPS-00138,FAC-UPS,Computer Science Department,Engineering Building,5,11,13.48,124.16666666666669,0.2339,Moderate Risk,0
AST-IT-MONITOR-00367,IT-MONITOR,Electrical Engineering Department,Engineering Building,2,5,7.0,79.58333333333333,0.2309,Moderate Risk,0
AST-IT-PC-00220,IT-PC,Computer Science Department,Engineering Building,1,7,4.8,94.83333333333334,0.2272,Moderate Risk,0
AST-IT-PC-00387,IT-PC,Electrical Engineering Department,Engineering Building,1,7,8.8,88.66666666666667,0.2263,Moderate Risk,0
AST-IT-LAPTOP-00179,IT-LAPTOP,Unknown,Administration Building,2,8,11.55,88.54166666666666,0.2207,Moderate Risk,0
AST-FURN-CAB-00256,FURN-CAB,Computer Science Department,Engineering Building,1,1,11.13,56.73611111111111,0.2163,Moderate Risk,0
AST-IT-LAPTOP-00226,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,0,6,1.89,107.70833333333334,0.2158,Moderate Risk,0
AST-FURN-CAB-00280,FURN-CAB,Computer Science Department,Engineering Building,2,2,33.77,35.486111111111114,0.2158,Moderate Risk,0
AST-IT-PC-00290,IT-PC,Unknown,Administration Building,1,7,6.3,103.66666666666666,0.2139,Moderate Risk,0
AST-IT-MONITOR-00391,IT-MONITOR,Data Science Department,AI and Data Science Building,0,3,2.46,107.5,0.2131,Moderate Risk,0
AST-IT-PC-00410,IT-PC,Unknown,Administration Building,0,6,1.66,68.83333333333333,0.2129,Moderate Risk,0
AST-IT-MONITOR-00272,IT-MONITOR,Artificial Intelligence Department,AI and Data Science Building,2,5,10.34,99.58333333333331,0.212,Moderate Risk,0
AST-IT-LAPTOP-00370,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,2,7,12.57,84.58333333333333,0.2117,Moderate Risk,0
AST-IT-PROJ-00405,IT-PROJ,Unknown,Administration Building,5,5,19.59,173.33333333333334,0.2081,Moderate Risk,0
AST-IT-PC-00244,IT-PC,Unknown,Administration Building,1,7,4.28,86.16666666666667,0.2045,Moderate Risk,0
AST-IT-MONITOR-00007,IT-MONITOR,Data Science Department,AI and Data Science Building,3,6,12.01,115.27777777777776,0.203,Moderate Risk,0
AST-IT-PRINTER-00403,IT-PRINTER,Electrical Engineering Department,Engineering Building,1,10,3.56,68.33333333333333,0.2012,Moderate Risk,0
AST-IT-LAPTOP-00010,IT-LAPTOP,Unknown,Administration Building,0,4,1.68,41.04166666666666,0.1966,Moderate Risk,0
AST-IT-LAPTOP-00106,IT-LAPTOP,Unknown,Administration Building,3,9,8.36,171.04166666666666,0.1935,Moderate Risk,0
AST-IT-MONITOR-00080,IT-MONITOR,Electrical Engineering Department,Engineering Building,0,3,1.2,83.47222222222223,0.1922,Moderate Risk,0
AST-IT-MONITOR-00105,IT-MONITOR,Data Science Department,AI and Data Science Building,0,3,1.6,73.05555555555556,0.1885,Moderate Risk,0
AST-FURN-CHAIR-00303,FURN-CHAIR,Data Science Department,AI and Data Science Building,4,4,15.26,75.11904761904762,0.1879,Moderate Risk,0
AST-IT-PC-00125,IT-PC,Data Science Department,AI and Data Science Building,2,7,2.86,117.83333333333334,0.1878,Moderate Risk,0
AST-IT-PC-00194,IT-PC,Electrical Engineering Department,Engineering Building,1,7,4.48,76.33333333333333,0.1825,Moderate Risk,0
AST-IT-MONITOR-00392,IT-MONITOR,Data Science Department,AI and Data Science Building,3,6,11.29,107.63888888888889,0.1749,Moderate Risk,0
AST-IT-PC-00146,IT-PC,Artificial Intelligence Department,AI and Data Science Building,0,6,1.82,85.0,0.1746,Moderate Risk,0
AST-IT-PC-00192,IT-PC,Unknown,Administration Building,1,6,7.21,89.16666666666667,0.1745,Moderate Risk,0
AST-FURN-CHAIR-00230,FURN-CHAIR,Computer Science Department,Engineering Building,5,5,31.09,85.47619047619047,0.1742,Moderate Risk,0
AST-IT-LAPTOP-00203,IT-LAPTOP,Unknown,Administration Building,0,6,2.03,123.54166666666666,0.1732,Moderate Risk,0
AST-IT-MONITOR-00152,IT-MONITOR,Unknown,Administration Building,0,3,1.43,107.08333333333331,0.1725,Moderate Risk,0
AST-IT-PC-00216,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,7,7.15,136.33333333333331,0.1719,Moderate Risk,0
AST-IT-PC-00145,IT-PC,Data Science Department,AI and Data Science Building,0,6,1.63,135.5,0.1717,Moderate Risk,0
AST-IT-MONITOR-00345,IT-MONITOR,Unknown,Administration Building,1,4,9.28,52.63888888888889,0.171,Moderate Risk,0
AST-IT-MONITOR-00417,IT-MONITOR,Computer Science Department,Engineering Building,1,4,10.24,88.47222222222223,0.1698,Moderate Risk,0
AST-IT-MONITOR-00030,IT-MONITOR,Unknown,Administration Building,2,5,8.95,85.55555555555556,0.1648,Moderate Risk,0
AST-IT-MONITOR-00081,IT-MONITOR,Unknown,Administration Building,2,5,5.6,81.11111111111111,0.164,Moderate Risk,0
AST-IT-MONITOR-00393,IT-MONITOR,Electrical Engineering Department,Engineering Building,0,3,1.82,90.83333333333334,0.1634,Moderate Risk,0
AST-IT-LAPTOP-00155,IT-LAPTOP,Data Science Department,AI and Data Science Building,1,7,7.14,100.0,0.1628,Moderate Risk,0
AST-IT-SWITCH-00116,IT-SWITCH,Unknown,Administration Building,1,4,10.5,96.3095238095238,0.1613,Moderate Risk,0
AST-FAC-UPS-00162,FAC-UPS,Unknown,Administration Building,2,8,11.99,105.83333333333331,0.1602,Moderate Risk,0
AST-LAB-OSC-00022,LAB-OSC,Electrical Engineering Department,Engineering Building,1,4,6.25,29.58333333333333,0.1559,Moderate Risk,0
AST-IT-MONITOR-00006,IT-MONITOR,Computer Science Department,Engineering Building,1,4,8.9,75.97222222222223,0.1551,Moderate Risk,0
AST-IT-PC-00269,IT-PC,Computer Science Department,Engineering Building,0,6,1.65,136.83333333333331,0.1544,Moderate Risk,0
AST-IT-PC-00029,IT-PC,Data Science Department,AI and Data Science Building,0,6,1.8,78.66666666666667,0.1535,Moderate Risk,0
AST-IT-PC-00361,IT-PC,Unknown,Administration Building,0,6,1.28,128.5,0.1524,Moderate Risk,0
AST-LAB-3DP-00215,LAB-3DP,Electrical Engineering Department,Engineering Building,1,1,14.85,71.80555555555556,0.1513,Moderate Risk,0
AST-IT-PC-00317,IT-PC,Electrical Engineering Department,Engineering Building,0,6,1.5,138.66666666666669,0.1512,Moderate Risk,0
AST-IT-PC-00097,IT-PC,Electrical Engineering Department,Engineering Building,1,7,4.16,76.33333333333333,0.1497,Low Risk,0
AST-IT-LAPTOP-00371,IT-LAPTOP,Unknown,Administration Building,0,6,1.98,113.54166666666669,0.1486,Low Risk,0
AST-IT-MONITOR-00054,IT-MONITOR,Artificial Intelligence Department,AI and Data Science Building,0,3,2.19,76.52777777777779,0.1485,Low Risk,0
AST-FURN-DESK-00204,FURN-DESK,Computer Science Department,Engineering Building,2,3,28.38,41.833333333333336,0.1461,Low Risk,0
AST-IT-PC-00074,IT-PC,Computer Science Department,Engineering Building,0,6,1.23,131.83333333333331,0.146,Low Risk,0
AST-IT-MONITOR-00248,IT-MONITOR,Unknown,Administration Building,0,3,1.25,104.0277777777778,0.1459,Low Risk,0
AST-FURN-CHAIR-00350,FURN-CHAIR,Unknown,Administration Building,2,2,27.47,60.95238095238096,0.1456,Low Risk,0
AST-IT-PRINTER-00187,IT-PRINTER,Unknown,Administration Building,0,8,1.81,62.83333333333334,0.1441,Low Risk,0
AST-IT-PC-00341,IT-PC,Unknown,Administration Building,1,7,5.82,97.5,0.1422,Low Risk,0
AST-FAC-UPS-00330,FAC-UPS,Unknown,Administration Building,3,8,8.34,121.0,0.1408,Low Risk,0
AST-IT-PC-00314,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,8,10.07,124.33333333333331,0.1403,Low Risk,0
AST-LAB-OSC-00142,LAB-OSC,Unknown,Administration Building,1,4,12.45,27.916666666666668,0.1382,Low Risk,0
AST-LAB-3DP-00263,LAB-3DP,Data Science Department,AI and Data Science Building,3,3,16.71,106.11111111111111,0.1379,Low Risk,0
AST-FURN-CAB-00184,FURN-CAB,Computer Science Department,Engineering Building,2,2,28.26,54.513888888888886,0.1366,Low Risk,0
AST-IT-LAPTOP-00250,IT-LAPTOP,Computer Science Department,Engineering Building,0,5,1.61,94.79166666666666,0.1354,Low Risk,0
AST-FURN-CAB-00352,FURN-CAB,Computer Science Department,Engineering Building,1,1,45.92,30.000000000000004,0.1332,Low Risk,0
AST-IT-PC-00336,IT-PC,Computer Science Department,Engineering Building,0,5,1.97,57.49999999999999,0.1331,Low Risk,0
AST-FAC-UPS-00090,FAC-UPS,Artificial Intelligence Department,AI and Data Science Building,2,7,7.65,119.0,0.132,Low Risk,0
AST-IT-MONITOR-00009,IT-MONITOR,Electrical Engineering Department,Engineering Building,0,3,1.76,109.72222222222224,0.1301,Low Risk,0
AST-FURN-CHAIR-00111,FURN-CHAIR,Unknown,Administration Building,0,0,2.08,27.02380952380952,0.1287,Low Risk,0
AST-FURN-CHAIR-00062,FURN-CHAIR,Computer Science Department,Engineering Building,2,2,38.0,52.261904761904766,0.1264,Low Risk,0
AST-IT-PC-00411,IT-PC,Artificial Intelligence Department,AI and Data Science Building,3,8,5.99,60.83333333333333,0.1252,Low Risk,0
AST-IT-MONITOR-00246,IT-MONITOR,Computer Science Department,Engineering Building,1,3,17.03,86.38888888888889,0.1249,Low Risk,0
AST-IT-MONITOR-00127,IT-MONITOR,Computer Science Department,Engineering Building,0,2,1.84,80.83333333333333,0.1234,Low Risk,0
AST-IT-PC-00024,IT-PC,Unknown,Administration Building,1,7,3.36,123.5,0.1218,Low Risk,0
AST-IT-LAPTOP-00274,IT-LAPTOP,Unknown,Administration Building,1,7,7.33,77.08333333333334,0.1215,Low Risk,0
AST-FURN-CHAIR-00182,FURN-CHAIR,Unknown,Administration Building,0,0,2.08,28.214285714285715,0.1214,Low Risk,0
AST-IT-PC-00171,IT-PC,Data Science Department,AI and Data Science Building,0,6,1.55,97.5,0.1208,Low Risk,0
AST-IT-PC-00076,IT-PC,Unknown,Administration Building,0,6,1.94,65.66666666666666,0.1204,Low Risk,0
AST-IT-PC-00362,IT-PC,Computer Science Department,Engineering Building,0,6,1.67,77.83333333333334,0.1193,Low Risk,0
AST-IT-PC-00148,IT-PC,Computer Science Department,Engineering Building,0,5,1.81,51.0,0.1187,Low Risk,0
AST-IT-MONITOR-00318,IT-MONITOR,Computer Science Department,Engineering Building,0,3,1.92,79.30555555555556,0.1187,Low Risk,0
AST-IT-PC-00364,IT-PC,Artificial Intelligence Department,AI and Data Science Building,0,5,2.2,82.0,0.1182,Low Risk,0
AST-IT-PRINTER-00211,IT-PRINTER,Data Science Department,AI and Data Science Building,1,9,3.93,47.66666666666667,0.1173,Low Risk,0
AST-IT-PC-00170,IT-PC,Artificial Intelligence Department,AI and Data Science Building,1,7,4.3,61.16666666666667,0.1171,Low Risk,0
AST-IT-MONITOR-00222,IT-MONITOR,Computer Science Department,Engineering Building,1,4,3.79,96.11111111111111,0.1166,Low Risk,0
AST-IT-MONITOR-00297,IT-MONITOR,Electrical Engineering Department,Engineering Building,1,4,1.65,52.91666666666666,0.1158,Low Risk,0
AST-IT-PC-00123,IT-PC,Electrical Engineering Department,Engineering Building,0,6,1.61,54.16666666666666,0.1153,Low Risk,0
AST-IT-LAPTOP-00178,IT-LAPTOP,Unknown,Administration Building,0,3,1.93,28.750000000000004,0.115,Low Risk,0
AST-FURN-DESK-00277,FURN-DESK,Data Science Department,AI and Data Science Building,0,2,2.52,67.25,0.1145,Low Risk,0
AST-IT-LAPTOP-00059,IT-LAPTOP,Data Science Department,AI and Data Science Building,0,6,1.62,73.95833333333334,0.1135,Low Risk,0
AST-IT-PC-00053,IT-PC,Data Science Department,AI and Data Science Building,0,2,1.65,13.166666666666668,0.1128,Low Risk,0
AST-IT-PC-00313,IT-PC,Unknown,Administration Building,0,6,1.76,103.33333333333334,0.1103,Low Risk,0
AST-IT-MONITOR-00225,IT-MONITOR,Electrical Engineering Department,Engineering Building,1,4,10.87,38.333333333333336,0.11,Low Risk,0
AST-IT-PC-00268,IT-PC,Artificial Intelligence Department,AI and Data Science Building,0,6,1.71,116.16666666666666,0.1096,Low Risk,0
AST-IT-MONITOR-00128,IT-MONITOR,Computer Science Department,Engineering Building,2,5,12.25,90.55555555555556,0.1088,Low Risk,0
AST-IT-PC-00338,IT-PC,Artificial Intelligence Department,AI and Data Science Building,0,6,1.59,70.16666666666667,0.1081,Low Risk,0
AST-IT-LAPTOP-00299,IT-LAPTOP,Unknown,Administration Building,2,8,6.69,73.95833333333334,0.106,Low Risk,0
AST-IT-LAPTOP-00323,IT-LAPTOP,Data Science Department,AI and Data Science Building,1,7,6.88,83.125,0.1053,Low Risk,0
AST-IT-PC-00075,IT-PC,Unknown,Administration Building,2,6,6.63,32.83333333333333,0.1049,Low Risk,0
AST-IT-LAPTOP-00346,IT-LAPTOP,Unknown,Administration Building,0,6,2.01,85.0,0.1043,Low Risk,0
AST-IT-MONITOR-00247,IT-MONITOR,Data Science Department,AI and Data Science Building,2,5,11.53,63.19444444444444,0.1022,Low Risk,0
AST-IT-PC-00147,IT-PC,Unknown,Administration Building,0,6,1.57,85.33333333333334,0.1017,Low Risk,0
AST-IT-PROJ-00237,IT-PROJ,Data Science Department,AI and Data Science Building,0,0,2.08,83.95833333333333,0.1008,Low Risk,0
AST-IT-MONITOR-00200,IT-MONITOR,Computer Science Department,Engineering Building,0,3,2.48,96.5277777777778,0.1008,Low Risk,0
AST-IT-PC-00339,IT-PC,Electrical Engineering Department,Engineering Building,1,6,9.43,49.333333333333336,0.1002,Low Risk,0
AST-IT-PC-00412,IT-PC,Unknown,Administration Building,1,7,7.07,132.66666666666666,0.0992,Low Risk,0
AST-IT-PC-00168,IT-PC,Computer Science Department,Engineering Building,0,1,2.15,9.833333333333334,0.0987,Low Risk,0
AST-IT-PC-00408,IT-PC,Computer Science Department,Engineering Building,0,6,1.7,54.16666666666666,0.0985,Low Risk,0
AST-FURN-DESK-00132,FURN-DESK,Unknown,Administration Building,1,3,4.99,28.75,0.0982,Low Risk,0
AST-IT-PROJ-00357,IT-PROJ,Electrical Engineering Department,Engineering Building,0,0,2.08,106.66666666666669,0.097,Low Risk,0
AST-IT-LAPTOP-00395,IT-LAPTOP,Data Science Department,AI and Data Science Building,0,6,1.69,94.16666666666669,0.0956,Low Risk,0
AST-IT-PC-00293,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,8,10.47,55.833333333333336,0.0948,Low Risk,0
AST-IT-MONITOR-00343,IT-MONITOR,Data Science Department,AI and Data Science Building,0,3,1.17,72.50000000000001,0.0941,Low Risk,0
AST-IT-SWITCH-00212,IT-SWITCH,Artificial Intelligence Department,AI and Data Science Building,0,3,1.9,89.99999999999999,0.0931,Low Risk,0
AST-LAB-OSC-00190,LAB-OSC,Data Science Department,AI and Data Science Building,4,6,24.24,48.00000000000001,0.093,Low Risk,0
AST-LAB-OSC-00406,LAB-OSC,Unknown,Administration Building,1,4,3.93,42.083333333333336,0.0928,Low Risk,0
AST-FURN-DESK-00133,FURN-DESK,Unknown,Administration Building,0,2,1.9,44.66666666666666,0.0928,Low Risk,0
AST-IT-PC-00337,IT-PC,Electrical Engineering Department,Engineering Building,0,6,1.21,96.66666666666669,0.0927,Low Risk,0
AST-IT-PC-00265,IT-PC,Electrical Engineering Department,Engineering Building,0,4,2.41,31.166666666666664,0.0923,Low Risk,0
AST-IT-PRINTER-00139,IT-PRINTER,Electrical Engineering Department,Engineering Building,1,7,4.28,36.16666666666666,0.0921,Low Risk,0
AST-IT-PC-00121,IT-PC,Unknown,Administration Building,0,5,1.87,46.0,0.0918,Low Risk,0
AST-IT-MONITOR-00368,IT-MONITOR,Computer Science Department,Engineering Building,0,3,2.51,81.94444444444444,0.0916,Low Risk,0
AST-IT-PROJ-00165,IT-PROJ,Data Science Department,AI and Data Science Building,0,0,2.08,76.66666666666666,0.0913,Low Risk,0
AST-FURN-CAB-00064,FURN-CAB,Artificial Intelligence Department,AI and Data Science Building,0,0,2.08,26.944444444444443,0.0908,Low Risk,0
AST-LAB-OSC-00214,LAB-OSC,Computer Science Department,Engineering Building,0,3,2.11,26.25,0.0897,Low Risk,0
AST-IT-PROJ-00189,IT-PROJ,Electrical Engineering Department,Engineering Building,0,0,2.08,98.33333333333334,0.0895,Low Risk,0
AST-IT-LAPTOP-00347,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,0,4,2.47,49.375,0.0887,Low Risk,0
AST-FAC-AC-00377,FAC-AC,Electrical Engineering Department,Engineering Building,1,12,4.38,49.79166666666666,0.0867,Low Risk,0
AST-LAB-3DP-00119,LAB-3DP,Data Science Department,AI and Data Science Building,2,2,3.06,102.2222222222222,0.0864,Low Risk,0
AST-FURN-DESK-00348,FURN-DESK,Artificial Intelligence Department,AI and Data Science Building,1,2,16.94,9.000000000000002,0.0859,Low Risk,0
AST-IT-MONITOR-00078,IT-MONITOR,Computer Science Department,Engineering Building,0,2,1.41,80.0,0.0853,Low Risk,0
AST-IT-MONITOR-00249,IT-MONITOR,Unknown,Administration Building,2,5,8.9,95.41666666666669,0.0837,Low Risk,0
AST-IT-PROJ-00093,IT-PROJ,Electrical Engineering Department,Engineering Building,0,0,2.08,81.66666666666667,0.0833,Low Risk,0
AST-FURN-DESK-00060,FURN-DESK,Unknown,Administration Building,0,1,2.55,65.83333333333333,0.0833,Low Risk,0
AST-FURN-CAB-00016,FURN-CAB,Unknown,Administration Building,0,0,2.08,55.00000000000001,0.0825,Low Risk,0
AST-IT-MONITOR-00153,IT-MONITOR,Electrical Engineering Department,Engineering Building,0,3,2.12,76.52777777777779,0.0809,Low Risk,0
AST-IT-MONITOR-00177,IT-MONITOR,Unknown,Administration Building,0,3,2.65,64.58333333333334,0.0808,Low Risk,0
AST-FURN-DESK-00253,FURN-DESK,Electrical Engineering Department,Engineering Building,2,3,16.54,55.41666666666667,0.0805,Low Risk,0
AST-IT-PC-00122,IT-PC,Data Science Department,AI and Data Science Building,2,8,9.32,51.0,0.0803,Low Risk,0
AST-IT-MONITOR-00416,IT-MONITOR,Artificial Intelligence Department,AI and Data Science Building,0,3,1.41,68.75,0.0803,Low Risk,0
AST-FURN-CHAIR-00326,FURN-CHAIR,Computer Science Department,Engineering Building,0,0,2.08,89.16666666666667,0.0801,Low Risk,0
AST-LAB-3DP-00047,LAB-3DP,Electrical Engineering Department,Engineering Building,0,0,2.08,113.88888888888889,0.0793,Low Risk,0
AST-FURN-CHAIR-00063,FURN-CHAIR,Data Science Department,AI and Data Science Building,1,1,36.08,78.33333333333333,0.0792,Low Risk,0
AST-FURN-CAB-00112,FURN-CAB,Computer Science Department,Engineering Building,0,0,2.08,52.29166666666667,0.0791,Low Risk,0
AST-LAB-OSC-00286,LAB-OSC,Computer Science Department,Engineering Building,0,2,1.4,33.83333333333333,0.0782,Low Risk,0
AST-LAB-OSC-00238,LAB-OSC,Unknown,Administration Building,1,3,2.37,54.333333333333336,0.078,Low Risk,0
AST-IT-PC-00193,IT-PC,Data Science Department,AI and Data Science Building,0,6,1.74,59.16666666666666,0.0772,Low Risk,0
AST-LAB-3DP-00287,LAB-3DP,Data Science Department,AI and Data Science Building,0,0,2.08,72.50000000000001,0.0767,Low Risk,0
AST-FAC-UPS-00114,FAC-UPS,Artificial Intelligence Department,AI and Data Science Building,0,5,1.69,70.83333333333334,0.0766,Low Risk,0
AST-FAC-AC-00257,FAC-AC,Data Science Department,AI and Data Science Building,0,11,1.78,76.97916666666667,0.0765,Low Risk,0
AST-FURN-DESK-00373,FURN-DESK,Electrical Engineering Department,Engineering Building,0,2,1.83,32.0,0.0764,Low Risk,0
AST-FURN-CAB-00088,FURN-CAB,Computer Science Department,Engineering Building,2,2,34.92,34.583333333333336,0.0759,Low Risk,0
